Datums;Elektroapgƒdes objekts;Objekta adrese;SkaitŒtƒja numurs;Pat‰r‰tƒ elektroener…ija (A+) (kWh)
01.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;12,889
02.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;8,987
03.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;9,818
04.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;8,039
05.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;9,072
06.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;8,027
07.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;9,617
08.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;9,156
09.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;9,303
10.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;7,402
11.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;9,1
12.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;6,955
13.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;9,924
14.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;11,906
15.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;10,051
16.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;9,087
17.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;9,244
18.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;7,073
19.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;7,415
20.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;8,556
21.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;5,835
22.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;7,289
23.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;8,579
24.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;8,949
25.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;7,97
26.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;6,883
27.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;8,391
28.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;10,324
29.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;7,071
30.04.2024;DZ¡VOKLIS;Tukuma nov., Tukums, Kurzemes iela 2-26;11477134;8,018
;;;Kopƒ:;260,93
